player,season,matches,runs,balls_faced,strike_rate,wickets,overs_bowled,economy,catches,run_outs
H Klaasen,2019,2,9,10,90,0,0,,1,0
KC Cariappa,2019,1,9,3,300,0,2,17,0,0
P Negi,2019,4,9,12,75,3,11.1,9.13,3,0
Shakib Al Hasan,2019,3,9,10,90,2,10.5,8.77,0,0
TG Southee,2019,3,9,9,100,1,9,13.11,3,0
MK Lomror,2019,1,8,3,266.67,0,0,,1,0
DL Chahar,2019,17,7,9,77.78,22,64.3,7.47,2,0
NS Naik,2019,1,7,16,43.75,0,0,,0,0
RK Bhui,2019,1,7,12,58.33,0,0,,0,0
TA Boult,2019,5,7,4,175,5,19,8.58,2,0
IS Sodhi,2019,2,6,11,54.55,4,7.1,9.35,0,0
J Suchith,2019,1,6,15,40,2,4,7,0,0
M Markande,2019,3,6,5,120,1,6,9.83,0,0
Sandeep Sharma,2019,11,6,3,200,12,42.4,8.25,1,0
YS Chahal,2019,14,6,16,37.5,18,49.2,7.82,3,0
DR Shorey,2019,1,5,8,62.5,0,0,,5,0
DS Kulkarni,2019,10,5,3,166.67,6,35,9.57,5,0
KK Nair,2019,1,5,6,83.33,0,0,,3,0
Rasikh Salam,2019,1,5,4,125,0,4,10.5,1,0
Avesh Khan,2019,1,4,3,133.33,0,3,10,1,0
GH Vihari,2019,2,4,8,50,0,1,9,0,0
Mohammed Siraj,2019,9,4,14,28.57,7,28.1,9.55,2,0
AJ Turner,2019,4,3,10,30,0,0,,0,0
BB Sran,2019,2,3,3,100,0,4,12.75,0,0
GC Viljoen,2019,6,3,7,42.86,7,23,9.65,0,0
M Ashwin,2019,10,3,5,60,5,34,7.5,3,0
VR Aaron,2019,5,3,7,42.86,4,12,9.67,1,0
Navdeep Saini,2019,13,2,4,50,11,48,8.27,3,0
Basil Thampi,2019,3,1,1,100,0,12,9.17,0,0
HF Gurney,2019,8,1,5,20,7,27,8.81,0,0
Harbhajan Singh,2019,11,1,3,33.33,16,44,7.09,3,0
JD Unadkat,2019,11,1,3,33.33,10,37.2,10.66,2,0
Mohammed Shami,2019,14,1,2,50,19,54,8.69,5,0
Washington Sundar,2019,3,1,3,33.33,4,9,8.22,2,0
AJ Tye,2019,6,0,2,0,3,22,10.59,1,0
AS Rajpoot,2019,4,0,0,,3,16,9.5,0,0
AS Roy,2019,1,0,0,,1,2,5.5,0,0
Anmolpreet Singh,2019,0,0,0,,0,0,,1,0
Arshdeep Singh,2019,3,0,0,,3,10,10.9,0,0
CV Varun,2019,1,0,0,,1,3,11.67,0,0
DW Steyn,2019,2,0,0,,4,8,8.62,0,0
HV Patel,2019,2,0,2,0,2,8,9.62,0,0
Imran Tahir,2019,17,0,0,,26,64.2,6.7,3,0
J Yadav,2019,2,0,0,,1,7,7.14,1,0
JJ Bumrah,2019,16,0,1,0,20,62.2,6.69,2,0
JL Denly,2019,1,0,1,0,0,0,,0,0
JP Behrendorff,2019,5,0,0,,5,19,8.68,0,0
K Khejroliya,2019,2,0,0,,1,5,9.2,0,0
KK Ahmed,2019,9,0,1,0,20,34.5,8.24,0,0
KV Sharma,2019,1,0,0,,1,2.5,11.65,0,0
LH Ferguson,2019,5,0,0,,2,17,10.76,0,0
M Prasidh Krishna,2019,11,0,2,0,5,41.2,9.36,2,0
MC Henriques,2019,0,0,0,,0,0,,1,0
MM Sharma,2019,1,0,2,0,1,3,9,0,0
Milind Kumar,2019,0,0,0,,0,0,,1,0
Mujeeb Ur Rahman,2019,5,0,4,0,3,19,10.05,1,0
O Thomas,2019,4,0,0,,5,10,7.9,1,0
P Chopra,2019,0,0,0,,0,0,,1,0
S Kaul,2019,7,0,1,0,6,27,8.96,1,0
S Lamichhane,2019,6,0,1,0,8,23,9.13,1,0
S Midhun,2019,1,0,0,,0,2,13.5,1,0
S Nadeem,2019,3,0,0,,2,9,10,0,0
S Sandeep Warrier,2019,3,0,0,,2,12,7.08,1,0
SC Kuggeleijn,2019,2,0,0,,2,8,8.88,0,0
SL Malinga,2019,12,0,0,,16,44.5,9.77,0,0
SW Billings,2019,1,0,4,0,0,0,,1,0
Y Prithvi Raj,2019,2,0,1,0,1,5,11.4,0,0
KL Rahul,2020/21,14,676,524,129.01,0,0,,10,0
S Dhawan,2020/21,17,618,427,144.73,0,0,,5,0
DA Warner,2020/21,16,548,408,134.31,0,0.1,12,12,0
SS Iyer,2020/21,17,519,421,123.28,0,0,,6,0
Ishan Kishan,2020/21,13,516,354,145.76,0,0,,1,0
Q de Kock,2020/21,16,506,361,140.17,0,0,,18,0
SA Yadav,2020/21,15,480,331,145.02,0,0,,8,0
D Padikkal,2020/21,15,473,379,124.8,0,0,,8,0
V Kohli,2020/21,15,471,386,122.02,0,0,,3,0
AB de Villiers,2020/21,14,460,290,158.62,0,0,,10,0
F du Plessis,2020/21,13,449,319,140.75,0,0,,12,0
Shubman Gill,2020/21,14,440,373,117.96,0,0,,7,0
MA Agarwal,2020/21,11,432,273,158.24,0,0,,6,0
MK Pandey,2020/21,15,425,333,127.63,0,0,,7,0
EJG Morgan,2020/21,14,419,304,137.83,0,0,,3,0
SV Samson,2020/21,14,375,236,158.9,0,0,,9,0
AT Rayudu,2020/21,11,359,282,127.3,0,0,,3,0
N Pooran,2020/21,14,353,210,168.1,0,0,,7,0
MP Stoinis,2020/21,17,352,237,148.52,13,29.4,9.54,3,0
N Rana,2020/21,14,352,254,138.58,0,2,11.5,2,0
JM Bairstow,2020/21,11,345,272,126.84,0,0,,7,0
RR Pant,2020/21,14,345,303,113.86,0,0,,13,0
RG Sharma,2020/21,12,334,263,127,0,0,,6,0
JC Buttler,2020/21,12,328,227,144.49,0,0,,6,0
KS Williamson,2020/21,11,317,237,133.76,0,2,12,6,0
SPD Smith,2020/21,14,311,237,131.22,0,0,,2,0
SR Watson,2020/21,11,299,247,121.05,0,0,,2,0
CH Gayle,2020/21,7,295,212,139.15,0,0.5,6,1,0
BA Stokes,2020/21,8,285,200,142.5,2,15,10.27,6,0
HH Pandya,2020/21,13,283,160,176.88,0,0,,6,0
KA Pollard,2020/21,12,281,149,188.59,4,21,9.05,8,0
AJ Finch,2020/21,12,268,241,111.2,0,0,,3,0
R Tewatia,2020/21,14,255,183,139.34,10,46,7.09,9,0
RA Jadeja,2020/21,13,232,135,171.85,6,36.2,8.75,5,0
RA Tripathi,2020/21,11,230,181,127.07,0,0,,3,0
PP Shaw,2020/21,13,228,167,136.53,0,0,,4,0
WP Saha,2020/21,4,214,153,139.87,0,0,,2,0
RD Gaikwad,2020/21,6,204,169,120.71,0,0,,4,0
MS Dhoni,2020/21,12,200,172,116.28,0,0,,15,0
RV Uthappa,2020/21,12,196,164,119.51,0,0,,3,0
SM Curran,2020/21,13,186,141,131.91,13,42,8.19,6,0
SO Hetmyer,2020/21,11,185,125,148,0,0,,7,0
KD Karthik,2020/21,14,169,136,124.26,0,0,,9,0
PJ Cummins,2020/21,14,146,114,128.07,12,52,7.87,3,0
PK Garg,2020/21,10,133,111,119.82,0,0,,8,0
Mandeep Singh,2020/21,7,130,109,119.27,0,0,,1,0
S Dube,2020/21,9,129,105,122.86,4,9,8.11,2,0
SP Narine,2020/21,10,121,85,142.35,5,38,7.95,2,0
AD Russell,2020/21,9,117,81,144.44,6,18,9.72,1,0
AR Patel,2020/21,15,117,85,137.65,9,51,6.41,8,0
AM Rahane,2020/21,8,113,107,105.61,0,0,,4,0
Abdul Samad,2020/21,7,113,67,168.66,1,7,13.71,5,0
JC Archer,2020/21,14,113,63,179.37,20,55.5,6.52,3,0
Washington Sundar,2020/21,15,111,95,116.84,8,50,5.96,0,0
KH Pandya,2020/21,16,109,92,118.48,6,50.1,7.57,4,0
GJ Maxwell,2020/21,11,108,106,101.89,3,21,8.05,4,0
SS Tiwary,2020/21,5,103,80,128.75,0,0,,1,0
DJ Hooda,2020/21,5,102,72,141.67,0,1,9,3,0
V Shankar,2020/21,5,97,96,101.04,4,13.1,6.23,1,0
R Parag,2020/21,8,86,77,111.69,0,2,13.5,1,0
TK Curran,2020/21,5,83,62,133.87,3,18.1,11.45,1,0
JR Philippe,2020/21,5,78,77,101.3,0,0,,0,0
Abhishek Sharma,2020/21,7,71,56,126.79,2,10,9.1,1,0
Gurkeerat Singh,2020/21,5,71,80,88.75,0,0,,6,0
JO Holder,2020/21,7,66,53,124.53,14,28,8.32,0,0
KM Jadhav,2020/21,5,62,66,93.94,0,0,,1,0
MK Lomror,2020/21,3,59,54,109.26,0,0,,0,0
K Rabada,2020/21,17,56,49,114.29,32,66.2,8.28,8,0
LH Ferguson,2020/21,5,43,29,148.28,8,20.2,7.38,0,0
K Gowtham,2020/21,2,42,27,155.56,1,8,10.5,0,0
YBK Jaiswal,2020/21,3,40,44,90.91,0,0,,1,0
R Ashwin,2020/21,15,37,34,108.82,13,51,7.67,1,0
S Gopal,2020/21,14,37,39,94.87,10,50,8.54,2,0
Rashid Khan,2020/21,16,35,30,116.67,20,64.4,5.34,2,0
CH Morris,2020/21,9,34,21,161.9,11,31.4,6.63,7,0
N Jagadeesan,2020/21,2,33,29,113.79,0,0,,0,0
SN Khan,2020/21,3,33,29,113.79,0,0,,2,0
AT Carey,2020/21,3,32,29,110.34,0,0,,2,0
M Vijay,2020/21,3,32,43,74.42,0,0,,0,0
CJ Jordan,2020/21,9,29,31,93.55,9,32.3,9.69,5,0
Navdeep Saini,2020/21,13,27,27,100,7,46.4,8.25,2,0
NM Coulter-Nile,2020/21,7,25,15,166.67,5,26,7.92,2,0
KL Nagarkoti,2020/21,9,22,31,70.97,5,26,8.88,4,0
HV Patel,2020/21,5,21,24,87.5,3,15,8.93,1,0
TU Deshpande,2020/21,5,21,12,175,3,17,11.29,1,0
JDS Neesham,2020/21,5,19,18,105.56,2,15,9.87,1,0
T Banton,2020/21,2,18,20,90,0,0,,0,0
Mohammed Siraj,2020/21,9,17,14,121.43,11,27.1,8.69,4,0
KK Nair,2020/21,3,16,14,114.29,0,0,,1,0
I Udana,2020/21,10,15,11,136.36,8,29,9.72,3,0
JL Pattinson,2020/21,10,15,13,115.38,11,35.3,9.01,2,0
P Simran Singh,2020/21,2,15,15,100,0,0,,1,0
Imran Tahir,2020/21,3,13,10,130,1,11,6.91,0,0
Kuldeep Yadav,2020/21,4,13,21,61.9,1,12,7.67,0,0
MM Ali,2020/21,3,12,16,75,1,5,8.4,1,0
SN Thakur,2020/21,9,12,21,57.14,10,32.2,8.51,2,0
Sandeep Sharma,2020/21,13,12,15,80,14,52,7.19,0,0
Mohammad Nabi,2020/21,1,11,8,137.5,0,4,5.75,0,0
RK Singh,2020/21,1,11,11,100,0,0,,1,0
CV Varun,2020/21,13,10,15,66.67,17,52,6.85,2,0
Shivam Mavi,2020/21,8,10,14,71.43,9,26,8.15,3,0
AS Rajpoot,2020/21,6,9,10,90,2,17.1,11.53,0,0
JD Unadkat,2020/21,7,9,13,69.23,4,23,9.91,1,0
A Nortje,2020/21,16,7,6,116.67,22,61,8.39,4,0
DJ Bravo,2020/21,6,7,6,116.67,6,21,8.57,0,0
DL Chahar,2020/21,14,7,12,58.33,12,52,7.62,1,0
P Dubey,2020/21,3,7,13,53.85,0,8,9,1,0
Ravi Bishnoi,2020/21,14,7,12,58.33,12,51,7.37,2,0
S Nadeem,2020/21,7,7,8,87.5,5,22,8.09,1,0
AJ Tye,2020/21,1,6,6,100,1,4.1,11.76,0,0
JJ Bumrah,2020/21,15,5,3,166.67,29,62,6.77,0,0
Kartik Tyagi,2020/21,10,4,6,66.67,9,38.1,9.62,2,0
M Ashwin,2020/21,9,4,4,100,10,31.3,7.46,4,0
DS Kulkarni,2020/21,1,3,2,150,0,3,7.33,0,0
T Natarajan,2020/21,16,3,5,60,16,62.5,8.02,2,0
M Prasidh Krishna,2020/21,6,2,4,50,4,17.4,9.23,1,0
Mohammed Shami,2020/21,14,2,3,66.67,20,55,8.51,2,0
RD Chahar,2020/21,15,2,4,50,15,53,8.17,3,0
DW Steyn,2020/21,3,1,2,50,1,11.4,11.4,0,0
Mujeeb Ur Rahman,2020/21,2,1,3,33.33,0,8,10.38,0,0
NS Naik,2020/21,1,1,3,33.33,0,0,,1,0
Shahbaz Ahmed,2020/21,2,1,1,100,2,6,7.33,1,0
VR Aaron,2020/21,3,1,10,10,0,8,11.75,0,0
YS Chahal,2020/21,15,1,3,33.33,21,57.1,7.08,0,0
A Mishra,2020/21,3,0,0,,3,10,7.2,1,0
A Zampa,2020/21,3,0,0,,2,11,8.36,1,0
AS Roy,2020/21,0,0,0,,0,0,,3,0
Arshdeep Singh,2020/21,8,0,3,0,9,24.5,8.78,1,0
Avesh Khan,2020/21,1,0,0,,0,4,10.5,0,0
B Kumar,2020/21,4,0,2,0,3,14.1,6.99,0,0
Basil Thampi,2020/21,1,0,0,,1,4,11.5,0,0
CJ Green,2020/21,1,0,0,,0,2.5,8.47,1,0
DA Miller,2020/21,0,0,0,,0,0,,1,0
DR Sams,2020/21,3,0,2,0,0,12,9.5,3,0
Harpreet Brar,2020/21,1,0,0,,0,4,10.25,0,0
I Sharma,2020/21,1,0,0,,0,3,8.67,0,0
J Suchith,2020/21,0,0,0,,0,0,,1,0
J Yadav,2020/21,2,0,0,,1,7,6.14,0,0
JR Hazlewood,2020/21,3,0,0,,1,10,6.4,0,0
KK Ahmed,2020/21,7,0,2,0,8,25.4,9.43,1,0
KMA Paul,2020/21,0,0,0,,0,0,,1,0
KV Sharma,2020/21,5,0,0,,5,19,8.68,0,0
L Ngidi,2020/21,4,0,0,,9,16,10.44,0,0
Lalit Yadav,2020/21,0,0,0,,0,0,,3,0
MJ Santner,2020/21,2,0,0,,2,7,7.57,1,0
MM Sharma,2020/21,1,0,0,,1,4,11.25,0,0
MR Marsh,2020/21,1,0,1,0,0,0.4,9,0,0
Monu Kumar,2020/21,1,0,0,,0,2,10,0,0
P Negi,2020/21,0,0,0,,0,0,,3,0
PP Chawla,2020/21,7,0,0,,6,21,9.1,0,0
S Kaul,2020/21,1,0,0,,2,4,16,0,0
S Sandeep Warrier,2020/21,1,0,0,,0,3,11.33,0,0
SP Goswami,2020/21,2,0,4,0,0,0,,2,0
SS Cottrell,2020/21,6,0,2,0,6,20,8.8,0,0
TA Boult,2020/21,15,0,1,0,25,58,8.14,4,0
UT Yadav,2020/21,2,0,2,0,0,7.1,11.44,0,0
RD Gaikwad,2021,16,635,466,136.27,0,0,,6,0
F du Plessis,2021,16,633,458,138.21,0,0,,12,0
KL Rahul,2021,13,626,451,138.8,0,0,,11,0
S Dhawan,2021,16,587,473,124.1,0,0,,9,0
GJ Maxwell,2021,14,513,356,144.1,3,16,8.44,5,0
SV Samson,2021,14,484,354,136.72,0,0,,7,0
PP Shaw,2021,15,479,301,159.14,0,0,,1,0
Shubman Gill,2021,17,478,402,118.91,0,0,,6,0
MA Agarwal,2021,12,441,314,140.45,0,0,,5,0
RR Pant,2021,16,424,330,128.48,0,0,,10,1
D Padikkal,2021,14,411,328,125.3,0,0,,7,0
V Kohli,2021,15,405,339,119.47,0,0,,8,0
RA Tripathi,2021,16,397,283,140.28,0,0,,8,1
N Rana,2021,16,383,314,121.97,0,2,6,4,0
RG Sharma,2021,13,381,299,127.42,0,1.1,11.14,1,0
VR Iyer,2021,10,370,288,128.47,3,8.3,8.12,7,1
MM Ali,2021,15,357,260,137.31,6,25.2,6.36,6,0
SA Yadav,2021,14,317,221,143.44,0,0,,5,0
AB de Villiers,2021,14,313,211,148.34,0,0,,15,0
Q de Kock,2021,11,297,256,116.02,0,0,,4,0
MK Pandey,2021,8,292,236,123.73,0,0,,5,0
KS Williamson,2021,10,270,238,113.45,0,0,,7,1
AT Rayudu,2021,13,257,170,151.18,0,0,,2,1
JC Buttler,2021,7,254,166,153.01,0,0,,3,0
YBK Jaiswal,2021,10,249,168,148.21,0,0,,3,0
JM Bairstow,2021,7,248,175,141.71,0,0,,2,0
KA Pollard,2021,13,245,165,148.48,5,13.1,7.22,6,1
SO Hetmyer,2021,12,242,144,168.06,0,0,,4,0
Ishan Kishan,2021,10,241,180,133.89,0,0,,3,0
S Dube,2021,9,230,193,119.17,0,5,9.8,2,0
RA Jadeja,2021,16,227,156,145.51,13,49,7.06,13,0
KD Karthik,2021,15,223,170,131.18,0,0,,5,2
DA Warner,2021,8,197,184,107.07,0,0,,2,0
CH Gayle,2021,10,193,154,125.32,0,0,,3,0
KS Bharat,2021,6,191,156,122.44,0,0,,4,0
AD Russell,2021,8,183,120,152.5,11,19,9.89,2,0
SS Iyer,2021,8,175,171,102.34,0,0,,6,1
DJ Hooda,2021,11,160,123,130.08,2,16,8.5,7,0
SK Raina,2021,11,160,128,125,0,0,,7,0
R Tewatia,2021,13,155,147,105.44,8,37,9.19,2,0
M Shahrukh Khan,2021,10,153,114,134.21,0,0,,4,0
SPD Smith,2021,7,152,135,112.59,0,0,,10,1
E Lewis,2021,5,151,93,162.37,0,0,,0,0
JJ Roy,2021,5,150,121,123.97,0,0,,3,0
AK Markram,2021,6,146,119,122.69,0,4,5.75,3,0
KH Pandya,2021,12,143,123,116.26,5,33.1,7.99,6,0
EJG Morgan,2021,15,133,139,95.68,0,0,,9,1
WP Saha,2021,9,131,140,93.57,0,0,,6,0
HH Pandya,2021,11,127,112,113.39,0,0,,4,0
DA Miller,2021,8,124,113,109.73,0,0,,4,0
RV Uthappa,2021,4,115,84,136.9,0,0,,0,0
SS Tiwary,2021,4,115,97,118.56,0,0,,1,0
MS Dhoni,2021,11,114,107,106.54,0,0,,13,1
Abdul Samad,2021,10,111,87,127.59,1,1,9,8,0
Abhishek Sharma,2021,7,98,75,130.67,4,10,6.4,2,0
MK Lomror,2021,4,94,73,128.77,1,7,6.71,1,0
PJ Cummins,2021,7,93,56,166.07,9,26.5,8.83,2,0
R Parag,2021,10,93,83,112.05,1,6.1,11.84,6,1
MP Stoinis,2021,8,89,72,123.61,2,11.1,10.48,2,0
JO Holder,2021,8,85,72,118.06,16,31.5,7.76,2,0
N Pooran,2021,10,85,76,111.84,0,0,,3,0
Rashid Khan,2021,14,83,69,120.29,18,57,6.67,2,0
PK Garg,2021,5,72,74,97.3,0,0,,0,0
RM Patidar,2021,4,71,62,114.52,0,0,,1,0
Lalit Yadav,2021,5,68,73,93.15,4,14,7.21,5,0
CH Morris,2021,11,67,49,136.73,15,41,9.17,4,0
KA Jamieson,2021,9,65,55,118.18,9,28,9.61,2,0
Harpreet Brar,2021,7,64,58,110.34,5,23,6.04,2,0
SP Narine,2021,14,62,47,131.91,16,56,6.45,2,0
HV Patel,2021,15,59,46,128.26,32,56.2,8.15,3,1
Shahbaz Ahmed,2021,7,59,53,111.32,7,14,6.57,3,0
V Shankar,2021,5,58,52,111.54,3,11,9.09,2,0
SM Curran,2021,9,56,29,193.1,9,33,9.94,1,0
KM Jadhav,2021,5,55,52,105.77,0,0,,2,0
CA Lynn,2021,1,49,35,140,0,0,,2,0
DJ Bravo,2021,11,47,18,261.11,14,33.4,7.81,2,0
Shakib Al Hasan,2021,8,47,48,97.92,4,26,7.19,3,1
R Ashwin,2021,13,44,42,104.76,7,44.4,7.41,2,0
LS Livingstone,2021,5,42,41,102.44,0,0,,3,0
M Vohra,2021,4,42,39,107.69,0,0,,0,0
JD Unadkat,2021,6,41,29,141.38,4,22,7.64,0,0
AR Patel,2021,12,40,46,86.96,15,47,6.64,4,0
B Kumar,2021,11,34,30,113.33,6,42,7.98,0,0
J Yadav,2021,5,34,26,130.77,2,17,7.65,1,0
Mohammad Nabi,2021,3,34,20,170,2,8,10.75,5,0
CJ Jordan,2021,4,32,21,152.38,4,12,8,0,0
MC Henriques,2021,5,31,32,96.88,4,10,4.5,1,0
Washington Sundar,2021,6,31,47,65.96,3,16,7.38,1,0
DJ Malan,2021,1,26,26,100,0,0,,1,0
GD Phillips,2021,3,26,33,78.79,1,2,10,1,0
RV Patel,2021,2,25,27,92.59,0,3,7.33,1,0
Shivam Mavi,2021,9,25,20,125,11,32.1,7.24,5,0
TK Curran,2021,3,21,17,123.53,4,11.2,9.18,0,0
Mohammed Siraj,2021,15,20,26,76.92,11,52,6.79,4,0
P Simran Singh,2021,2,19,23,82.61,0,0,,0,0
LH Ferguson,2021,8,18,11,163.64,13,30,7.47,3,1
NT Ellis,2021,3,18,16,112.5,1,11,8.18,0,0
AF Milne,2021,4,16,17,94.12,4,14,9.36,2,0
Anmolpreet Singh,2021,1,16,14,114.29,0,0,,0,0
C Sakariya,2021,14,16,25,64,14,52,8.19,4,0
JJ Bumrah,2021,14,16,17,94.12,21,55,7.45,2,0
CR Woakes,2021,3,15,11,136.36,5,11,7.45,0,0
JA Richardson,2021,3,15,24,62.5,3,11,10.64,1,0
M Ashwin,2021,3,15,24,62.5,1,11,8.82,0,0
Mandeep Singh,2021,1,15,14,107.14,0,0,,1,0
Virat Singh,2021,2,15,26,57.69,0,0,,2,0
DT Christian,2021,9,14,24,58.33,4,16.4,9.3,9,0
J Suchith,2021,2,14,6,233.33,0,7,9.43,4,0
RD Chahar,2021,11,14,15,93.33,13,43,7.4,2,0
K Rabada,2021,15,13,6,216.67,15,56,8.14,6,0
Mohammed Shami,2021,14,13,17,76.47,19,52.4,7.5,0,1
YS Chahal,2021,15,10,27,37.04,18,53,7.06,4,0
AM Rahane,2021,1,8,8,100,0,0,,0,0
Mustafizur Rahman,2021,14,8,14,57.14,14,51.5,8.41,0,0
S Kaul,2021,8,8,8,100,7,30,8.23,1,0
Sandeep Sharma,2021,7,8,7,114.29,3,23.3,8.64,0,0
S Gopal,2021,3,7,5,140,0,7,12,0,0
Sachin Baby,2021,1,7,17,41.18,0,0,,0,0
DR Sams,2021,2,6,6,100,1,6,6.5,0,0
FA Allen,2021,3,6,12,50,1,11,8.18,2,0
Avesh Khan,2021,16,5,3,166.67,24,61,7.38,1,0
SN Thakur,2021,16,5,5,100,21,59.5,8.81,2,0
Harbhajan Singh,2021,3,4,4,100,0,7,9,1,0
NM Coulter-Nile,2021,5,4,5,80,7,20,6.35,1,0
TG Southee,2021,3,3,5,60,3,12,7.92,2,0
Arshdeep Singh,2021,12,2,3,66.67,18,41.2,8.27,1,0
CV Varun,2021,17,2,4,50,18,68,6.59,1,1
GHS Garton,2021,5,2,4,50,3,15,9,1,0
Kartik Tyagi,2021,4,2,4,50,4,14,8.86,1,0
Navdeep Saini,2021,2,2,4,50,0,4,13,1,0
T Shamsi,2021,1,2,4,50,0,4,8.5,0,0
TL Seifert,2021,1,2,4,50,0,0,,0,0
DL Chahar,2021,15,1,1,100,14,54,8.35,5,0
KK Ahmed,2021,7,1,2,50,5,27,8.11,0,0
Mujeeb Ur Rahman,2021,1,1,1,100,2,4,7.25,0,0
PWH de Silva,2021,2,1,2,50,0,6,10,0,0
Ravi Bishnoi,2021,9,1,4,25,12,36,6.39,2,1
TA Boult,2021,14,1,4,25,13,51.2,7.91,4,0
TH David,2021,1,1,3,33.33,0,0,,0,0
A Mishra,2021,4,0,0,,6,14,7.79,0,0
A Nortje,2021,8,0,0,,12,30.2,6.16,1,0
AS Roy,2021,0,0,0,,0,0,,1,0
AU Rashid,2021,1,0,0,,0,3,11.67,0,0
Akash Singh,2021,1,0,0,,0,4,9.75,0,0
Anuj Rawat,2021,1,0,1,0,0,0,,4,0
BA Stokes,2021,1,0,3,0,0,1,12,1,0
DS Kulkarni,2021,1,0,0,,0,4,12,0,0
I Sharma,2021,3,0,0,,1,12,8.08,0,0
IC Porel,2021,1,0,0,,1,4,9.75,0,0
Imran Tahir,2021,1,0,0,,2,4,4,0,0
JDS Neesham,2021,3,0,2,0,5,9,7.33,0,0
JR Hazlewood,2021,9,0,0,,11,35,8.37,1,0
Jalaj S Saxena,2021,1,0,0,,0,3,9,0,0
K Gowtham,2021,0,0,0,,0,0,,1,0
K Yadav,2021,1,0,4,0,0,2,8,0,0
KK Nair,2021,0,0,0,,0,0,,0,1
KL Nagarkoti,2021,1,0,2,0,0,2,12.5,3,0
KM Asif,2021,1,0,0,,1,2.1,8.31,0,0
KW Richardson,2021,1,0,0,,1,3,9.67,1,0
L Ngidi,2021,3,0,0,,5,12,10.42,1,0
LI Meriwala,2021,1,0,0,,1,3,10.67,0,0
M Jansen,2021,2,0,3,0,2,6,7.5,1,0
M Markande,2021,1,0,0,,0,3,8.67,0,0
M Prasidh Krishna,2021,10,0,1,0,12,38.3,9.12,3,0
MJ Santner,2021,0,0,0,,0,0,,1,0
PP Chawla,2021,1,0,2,0,1,4,9.5,0,0
RP Meredith,2021,5,0,0,,4,17,9.94,0,0
S Nadeem,2021,1,0,1,0,1,4,9,1,0
S Sandeep Warrier,2021,1,0,0,,0,2,7.5,0,0
SN Khan,2021,2,0,4,0,0,0,,2,1
T Natarajan,2021,2,0,0,,2,8,8.62,0,0
Umran Malik,2021,3,0,0,,2,12,8,0,0
JC Buttler,2022,17,863,579,149.05,0,0,,9,0
KL Rahul,2022,14,616,455,135.38,0,0,,9,2
Q de Kock,2022,15,508,341,148.97,0,0,,12,2
HH Pandya,2022,15,487,371,131.27,8,30.3,7.28,2,2
Shubman Gill,2022,16,483,365,132.33,0,0,,7,0
DA Miller,2022,16,481,337,142.73,0,0,,6,1
F du Plessis,2022,16,468,367,127.52,0,0,,4,1
S Dhawan,2022,14,460,375,122.67,0,0,,10,0
SV Samson,2022,17,458,312,146.79,0,0,,14,3
DJ Hooda,2022,14,451,330,136.67,1,4,10.75,8,0
LS Livingstone,2022,14,437,240,182.08,6,23,8.78,5,0
DA Warner,2022,12,432,287,150.52,0,0,,6,0
Abhishek Sharma,2022,14,426,320,133.12,0,4,9.5,1,0
Ishan Kishan,2022,14,418,348,120.11,0,0,,13,4
RA Tripathi,2022,14,413,261,158.24,0,0,,6,0
SS Iyer,2022,14,401,298,134.56,0,1,7,5,3
Tilak Varma,2022,14,397,303,131.02,0,2,6.5,10,0
AK Markram,2022,12,381,274,139.05,1,6,10.67,6,0
D Padikkal,2022,17,376,306,122.88,0,0,,5,1
RD Gaikwad,2022,14,368,291,126.46,0,0,,4,0
N Rana,2022,14,361,251,143.82,0,2,11.5,6,1
V Kohli,2022,16,341,294,115.99,0,0,,9,0
RR Pant,2022,13,340,224,151.79,0,0,,8,1
AD Russell,2022,13,335,192,174.48,17,28.1,9.87,1,0
RM Patidar,2022,7,333,218,152.75,0,0,,4,0
KD Karthik,2022,16,330,180,183.33,0,0,,10,0
WP Saha,2022,11,317,259,122.39,0,0,,11,3
SO Hetmyer,2022,15,314,204,153.92,0,0,,3,1
N Pooran,2022,13,306,212,144.34,0,0,,8,3
SA Yadav,2022,8,303,208,145.67,0,0,,3,0
GJ Maxwell,2022,13,301,178,169.1,6,24,6.88,5,2
S Dube,2022,11,289,185,156.22,0,2,18,6,0
PP Shaw,2022,10,283,185,152.97,0,0,,4,0
AT Rayudu,2022,11,274,224,122.32,0,0,,4,0
RG Sharma,2022,14,268,223,120.18,0,0,,7,0
YBK Jaiswal,2022,10,258,194,132.99,0,0.1,36,2,0
JM Bairstow,2022,11,253,175,144.57,0,0,,2,2
DP Conway,2022,7,252,173,145.66,0,0,,2,1
MR Marsh,2022,8,251,189,132.8,4,12,8.5,0,0
R Powell,2022,12,250,167,149.7,0,1,17,10,0
MM Ali,2022,10,244,177,137.85,8,23.5,6.63,5,0
JM Sharma,2022,10,234,143,163.64,0,0,,9,2
MS Dhoni,2022,12,232,188,123.4,0,0,,9,1
RV Uthappa,2022,11,230,171,134.5,0,0,,5,1
Shahbaz Ahmed,2022,14,219,181,120.99,4,35,9.6,8,1
R Tewatia,2022,12,217,147,147.62,1,6,12.67,5,1
KS Williamson,2022,12,216,231,93.51,0,0,,10,0
PBB Rajapaksa,2022,9,206,129,159.69,0,0,,4,0
MA Agarwal,2022,12,196,160,122.5,0,0,,10,1
R Ashwin,2022,17,191,135,141.48,12,67,7.51,5,0
